"","name","variable","Nigeria","Congo","Georgia","Paraguay","Guyana","Algeria","Bangladesh","CAR","Chad","DRC","Guinea Bissau","Gambia","Ghana","Iraq","Kiribati","Kosovo","LaoPDR","Lesotho","Madagascar","Mongolia","Nepal","PakistanPunjab","PakistanSindh","Sao Tome and Principe","SierraLeone","Suriname","Tonga","Togo","Tunisia","Zimbabwe","DominicanRepublic"
"11","HW3","Soap or detergent present at place of handwashing",NA,"Savon ou détergent présent à l'endoit de lavage des mains","Soap or detergent present at place of handwashing",NA,"Soap or detergent present at place of handwashing","Y a-t-il du savon, de la lessive ou d'autres produits nettoyant sur le lieu de lavage des mains","Soap or detergent present at place of handwashing","Savon ou détergent présent au lieu de lavage des mains","Savon ou autres produits nettoyants sont observés au lieu spécifique de lavage des mains","Savon ou détergent présent à l'endoit de lavage des mains","Há sabão detergente ou cinza, lama, areia presentes no lugar de lavagem das mãos ?","Soap or detergent present at place of handwashing","Soap or detergent present at place of handwashing","Soap or detergent present at place of handwashing","Soap or detergent present at place of handwashing",NA,"Soap or detergent present at place of handwashing","Soap or detergent present at place of handwashing","Savon ou autres produits nettoyants sont observés au lieu spécifique de lavage des mains","Soap or detergent present at place of handwashing","Soap or detergent present at place of handwashing","Soap or detergent present at place of handwashing","Soap or detergent present at place of handwashing","Sabão ou detergente presente no local de lavagem das mãos","Soap or detergent present at place of handwashing","Soap or detergent present at place of handwashing","Soap or detergent present at place of handwashing","Savon ou autres produits nettoyants sont observés au lieu spécifique de lavage des mains","Soap or detergent present at place of handwashing","Soap or detergent present at place of handwashing","¿Hay jabón o detergente en el lugar específico para el lavado de manos?"
"12","HW4","Usual place for handwashing","Soap/other material available for washing hands","Endoit habituel pour le lavage des mains","Usual place for handwashing","Tiene algún jabón o detergente  o ceniza/barro/arena en el hogar para lavarse las manos?","Usual place for handwashing","Où est-ce que vous ou les autres membres de votre ménage vous lavez-vous le plus souvent les mains","Usual place for handwashing","Endroit habituel pour se laver les mains","Lieu habituel de lavage des mains","Endoit habituel pour le lavage des mains","Onde é que o/a Senhor (a) e os outros membros do vosso AF lavam sempre as mãos?","Usual place for handwashing","Usual place for handwashing","Usual place for handwashing","Usual place for handwashing",NA,"Usual place for handwashing","Usual place for handwashing","Lieu habituel de lavage des mains","Usual place for handwashing","Usual place for handwashing","Usual place for handwashing","Usual place for handwashing","Lugar usual para lavar as mãos","Usual place for handwashing","Usual place for handwashing","Usual place for handwashing","Lieu habituel de lavage des mains","Usual place for handwashing","Usual place for handwashing","¿Usualmente dónde se lavan las manos usted y los demás miembros del hogar?"
"13","HW5","Soap/other material available for washing hands",NA,"Savon / autre matériel disponible pour le lavage des mains","Soap/other material available for washing hands",NA,"Soap/other material available for washing hands","Avez-vous du savon, de la lessive ou d'autres produits nettoyant dans votre maison pour vous laver les mains","Soap/other material available for washing hands","Savon/autre matériau disponible pour se laver les mains","Savon ou autres produits nettoyants disponibles","Savon / autre matériel disponible pour le lavage des mains","Há sabão, lixivia, detergente ou cinza, lama, areia presentes no vosso alojamento para lavar as mãos?","Soap/other material available for washing hands","Soap/other material available for washing hands","Soap/other material available for washing hands","Soap/other material available for washing hands",NA,"Soap / other material available for washing hands","Soap/other material available for washing hands","Savon ou autres produits nettoyants disponibles","Soap/other material available for washing hands","Soap/other material available for washing hands","Soap or detergent available for washing hands","Soap or detergent available for washing hands","Sabão / outro material disponível para lavar as mãos","Soap/other material available for washing hands","Soap/other material available for washing hands","Soap, ash/sand/leaves or other material available for washing hands","Savon ou autres produits nettoyants disponibles","Soap/other material available for washing hands","Soap/other material available for washing hands","¿Hay jabón en barra, líquido o en polvo su hogar para lavarse las manos?"
"14","HW6","Hand washing material shown",NA,"Matériel de lavage des mains observé","Hand washing material shown",NA,"Hand washing material shown","Matériel de lavage des mains montré","Hand washing material shown","Matériel de lavage des mains montré","Savon ou autres produits nettoyants montrés","Matériel de lavage des mains observé","Pode mostrar-me por favor?","Hand washing material shown","Hand washing material shown","Hand washing material shown","Hand washing material shown",NA,"Hand washing material shown","Hand washing material shown","Savon ou autres produits nettoyants montrés","Hand washing material shown","Hand washing material shown","Hand washing material shown","Hand washing material shown","Material de lavagem das mãos mostrado","Hand washing material shown","Hand washing material shown","Hand washing material shown","Savon ou autres produits nettoyants montrés","Hand washing material shown","Hand washing material shown","¿Podría mostrármelo, por favor?"
"15","WQ14","Drink water without making any treatment","Blank water tested","Quelque chose esty faite à l""eau pour la rendre plus saine à boire","Done anything to the water to make it safer to drink","Realice el ensayo en blanco del agua","Done anything to the water to make it safer to drink","Faites-vous quelque chose à l'eau pour la rendre buvable","Done anything to the water to make it safer to drink","Faire quelque chose à l'eau pour la rendre plus saine à boire","Traite l'eau pour la rendre propre à la boisson","Quelque chose esty faite à l""eau pour la rendre plus saine à boire","Você ou outro membro do AF fez alguma coisa para tornar esta água que me deu potável para beber?","Done anything to the water to make it safer to drink","Done anything to the water to make it safer to drink","Done anything to the water to make it safer to drink","Done anything to the water to make it safer to drink","Done anything to the water to make it safer to drink","Done anything to the water to make it safer to drink","Done anything to the water to make it safer to drink","Traite l'eau pour la rendre propre à la boisson","Drink water without making any treatment","Done anything to the water to make it safer to drink","Done anything to the water to make it safer to drink","Done anything to the water to make it safer to drink","Feito qualquer coisa para a água para torná-lo mais seguro para beber","Done anything to the water to make it safer to drink","Done anything to the water to make it safer to drink","Done anything to the water to make it safer to drink","Traite l'eau pour la rendre propre à la boisson","Done anything to the water to make it safer to drink","Done anything to the water to make it safer to drink","¿Ha hecho usted o algún miembro de este hogar algo con esta agua para hacerla más segura para beber?"
"16","WQ15A","Water treatment: Boil",NA,"Traitement de l'eau: Bouillir","Water treatment: Boil",NA,"Water treatment: Boil","Traitement de l'eau: LA FAIRE BOUILLIR","Water treatment: Boil","Traitement de l'eau : Bouillir","Traitement de l'eau: La faire bouillir","Traitement de l'eau: Bouillir","Tratamento de agua: Ferve-a","Water treatment: Boil","Water treatment: Boil","Water treatment: Boil","Water treatment: Boil","Water treatment: Boil","Water treatment: Boil","Water treatment: Boil","Traitement de l'eau: La faire bouillir","Water treatment: Boil","Water treatment: Boil","Water treatment: Boil","Water treatment: Boil","Tratamento de água: Ferver","Water treatment: Boil","Water treatment: Boil","Water treatment: Boil","Traitement de l'eau: La faire bouillir","Water treatment: Boil","Water treatment: Boil","Tratamiento de agua: LA HIERVEN"
"17","WQ15B","Water treatment: Add bleach/chlorine",NA,"Traitement de l'eau: Ajouter de la Javel/Chlore","Water treatment: Add bleach/chlorine",NA,"Water treatment: Add bleach/chlorine","Traitement de l'eau: AJOUTER DE LA JAVEL/CHLORE","Water treatment: Add bleach/chlorine","Traitement de l'eau : Ajouter de la javel/chlore","Traitement de l'eau: Ajouter de la javel/ chlore","Traitement de l'eau: Ajouter de la Javel/Chlore","Tratamento de agua: Adicionar lixivia ou pastilha de cloro","Water treatment: Add bleach/chlorine","Water treatment: Add bleach/chlorine","Water treatment: Add bleach/chlorine","Water treatment: Add bleach/chlorine","Water treatment: Add bleach/chlorine","Water treatment: Add bleach / chlorine","Water treatment: Add bleach/chlorine","Traitement de l'eau: Ajouter de la javel/ chlore","Water treatment: Add bleach/chlorine","Water treatment: Add bleach/chlorine","Water treatment: Add bleach/chlorine","Water treatment: Add bleach/chlorine","Tratamento de água: Adicionar lixivia / cloro","Water treatment: Add bleach/chlorine","Water treatment: Add bleach/chlorine","Water treatment: Add bleach/chlorine","Traitement de l'eau: Ajouter de la javel/ chlore","Water treatment: Add bleach/chlorine","Water treatment: Add bleach/chlorine","Tratamiento de agua: LE AÑADEN CLORO O BLANQUEADOR"
"18","WQ15C","Water treatment: Strain it through a cloth",NA,"Traitement de l'eau: Fioltrer à travers un tissu","Water treatment: Strain it through a cloth",NA,"Water treatment: Strain it through a cloth","Traitement de l'eau: LA FILTRER A TRAVERS UN TISSU","Water treatment: Strain it through a cloth","Traitement de l'eau : Filtrer à travers un tissu","Traitement de l'eau: La filtrer a travers un tissu","Traitement de l'eau: Fioltrer à travers un tissu","Tratamento de agua: Filtra com pano","Water treatment: Strain it through a cloth","Water treatment: Strain it through a cloth","Water treatment: Strain it through a cloth","Water treatment: Strain it through a cloth","Water treatment: Strain it through a cloth","Water treatment: Strain it through a cloth","Water treatment: Strain it through a cloth","Traitement de l'eau: La filtrer a travers un tissu","Water treatment: Strain it through a cloth","Water treatment: Strain it through a cloth","Water treatment: Strain it through a cloth","Water treatment: Strain it through a cloth","Tratamento da água: Filtrar com um pano","Water treatment: Strain it through a cloth","Water treatment: Strain it through a cloth","Water treatment: Strain it through a cloth","Traitement de l'eau: La filtrer a travers un tissu","Water treatment: Strain it through a cloth","Water treatment: Strain it through a cloth","Tratamiento de agua: LA FILTRAN  O LA CUELAN CON UNA TELA"
"19","WQ15D","Water treatment: Use water filter","Day of recording test results","Traitement de l'eau: Utiliser un filtre à eau","Water treatment: Use water filter","Día del registro de la prueba de agua","Water treatment: Use water filter","Traitement de l'eau: UTILISER UN FILTRE A EAU (CERAMIQUE,SABLE, COMPOSITE, ETC.)","Water treatment: Use water filter","Traitement de l'eau : Utiliser un filtre à eau","Traitement de l'eau: Utiliser un filtre a eau (ceramique, sable, composite, etc.)","Traitement de l'eau: Utiliser un filtre à eau","Tratamento de agua: Usa filtro (Cerámica), Arreia e compósitos","Water treatment: Use water filter","Water treatment: Use water filter","Water treatment: Use water filter","Water treatment: Use water filter","Water treatment: Use water filter","Water treatment: Use water filter","Water treatment: Use water filter","Traitement de l'eau: Utiliser un filtre a eau (ceramique, sable, composite, etc.)","Water treatment: Use water filter","Water treatment: Use water filter","Water treatment: Use water filter","Water treatment: Use water filter","Tratamento de água: Usar um filtro de água","Water treatment: Use water filter","Water treatment: Use water filter","Water treatment: Use water filter","Traitement de l'eau: Utiliser un filtre a eau (ceramique, sable, composite, etc.)","Water treatment: Use water filter","Water treatment: Use water filter","Tratamiento de agua: UTILIZAN UN FILTRO DE AGUA COMO DE: CERÁMICA, ARENA, ETC"
"20","WQ15E","Water treatment: Solar disinfection",NA,"Traitement de l'eau: Désinfection solaire","Water treatment: Solar disinfection",NA,"Water treatment: Solar disinfection","Traitement de l'eau: DESINFECTION SOLAIRE","Water treatment: Solar disinfection","Traitement de l'eau : Désinfection solaire","Traitement de l'eau: Desinfection solaire","Traitement de l'eau: Désinfection solaire","Tratamento de agua: Desinfeção solar","Water treatment: Solar disinfection","Water treatment: Solar disinfection","Water treatment: Solar disinfection","Water treatment: Solar disinfection","Water treatment: Solar disinfection","Water treatment: Solar disinfection","Water treatment: Solar disinfection","Traitement de l'eau: Desinfection solaire","Water treatment: Solar disinfection","Water treatment: Solar disinfection","Water treatment: Solar disinfection","Water treatment: Solar disinfection","Tratamento de água: Desinfecção Solar","Water treatment: Solar disinfection","Water treatment: Solar disinfection","Water treatment: Solar disinfection","Traitement de l'eau: Desinfection solaire","Water treatment: Solar disinfection","Water treatment: Solar disinfection",NA
"21","WQ4","Water treatment","Water treatment","Numéro de l'enquêteur/trice","Interviewer number","¿Ha hecho algo con el agua para que sea más segura para beber?","Interviewer number","Numéro du superviseur","Interviewer number","Numéro de l'enquêteur","Numéro du chef d'équipe","Numéro de l'enquêteur/trice","Número do supervisor","Supervisor's number","Supervisor's number","Supervisor's number","Interviewer number","Interviewer number","Interviewer's number","Interviewe number","Numéro du chef d'équipe","Supervisor's number","Interviewer's number","Supervisor's number","Supervisor's number","Número do supervisor","Supervisor's number","Interviewer number","Interviewer number","Numéro du chef d'équipe","Supervisor's number","Interviewer number","Nombre y código de la entrevistadora"
"22","WQ5A","Water treatment: Boil","Water treatment: Boil",NA,NA,"Tratamiento del agua: La hierve",NA,NA,"HH selected for household Arsenic testing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","WQ5B","Water treatment: Add bleach/chlorine","Water treatment: Add bleach/chlorine",NA,NA,"Tratamiento del agua: Le añade blanqueador/cloro/agente purificador",NA,NA,"HH selected for E.coli testing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","WQ5C","Water treatment: Strain it through a cloth","Water treatment: Strain it through a cloth",NA,NA,"Tratamiento del agua: La filtra con una tela",NA,NA,"HH selected for source Arsenic testing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","WQ5D","Water treatment: Use water filter","Water treatment: Use water filter","Jour de l'interview","Day of water quality test","Tratamiento del agua: Utiliza un filtro de agua(cerámica,arena,etc.)","Day of water quality test","Jour de l'interview","Day of water quality test","Jour de l'interview","Jour du test","Jour de l'interview","Dia do inquérito","Day of interview","Day of interview","Day of interview","Day of water quality test","Day of water quality test","Day of water testing","Day of water testing","Jour du test","Day of interview","Day of water quality test","Day of interview","Day of interview","Dia da entrevista","Day of interview","Day of interview","Day of water quality test","Jour du test","Day of interview","Day of water quality test","Día de la entrevista"
"26","WQ5E","Water treatment: Solar disinfection","Water treatment: Solar disinfection",NA,NA,"Tratamiento del agua: Desinfección solar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","WS1","Main source of drinking water","Main source of drinking water","Source principale d'eau de boisson","Main source of drinking water","Fuente principal de agua para beber de los miembros de su hogar","Main source of drinking water","Quelle est la source principale d'eau que boivent les membres de votre ménage","Main source of drinking water","Principale source d'eau de boisson","Source principale d'eau de boisson","Source principale d'eau de boisson","De onde provém a água utilizada pelos membros do agregado principalmente para beber?","Main source of drinking water","Main source of drinking water","Main source of drinking water","Main source of drinking water","Main source of drinking water","Main source of drinking water","Main source of drinking water","Source principale d'eau de boisson","Main source of drinking water","Main source of drinking water","Main source of drinking water","Main source of drinking water","Principal fonte de água potável","Main source of drinking water","Main source of drinking water","Main source of drinking water","Source principale d'eau de boisson","Main source of drinking water","Main source of drinking water","¿Cuál es la fuente principal de agua para beber que utilizan los miembros de este hogar?"
"28","WS10A","Water treatment: Boil",NA,"Traitement de l'eau:  Bouillir","Water treatment: Boil",NA,"Water treatment: Boil","Que faites-vous habituellement à l'eau pour la rendre plus saine à boire: LA FAIRE BOUILLLIR","Water treatment: Boil","Traitement de l'eau : Bouillir","Traitement de l'eau: Bouillir","Traitement de l'eau:  Bouillir","A. Ferve-a","Water treatment: Boil","Water treatment: Boil","Water treatment: Boil","Water treatment: Boil","Water treatment: Boil","Water treatment: Boil","Water treatment: Boil","Traitement de l'eau: Bouillir",NA,"Water treatment: Boil","Water treatment: Boil","Water treatment: Boil","Tratamento de água: Ferver","Water treatment: Boil","Water treatment: Boil","Water treatment: Boil","Traitement de l'eau: Bouillir","Water treatment: Boil","Water treatment: Boil","Tratamiento de agua: LA HIERVEN"
"29","WS10B","Water treatment: Add bleach/chlorine",NA,"Traitement de l'eau: Ajouter de la Javel/Chlore","Water treatment: Add bleach/chlorine",NA,"Water treatment: Add bleach/chlorine","Que faites-vous habituellement à l'eau pour la rendre plus saine à boire:AJOUTER DE LA JAVEL/ CHLORE","Water treatment: Add bleach/chlorine","Traitement de l'eau : Ajouter de la javel/chlore","Traitement de l'eau: Ajouter de la javel/ chlore","Traitement de l'eau: Ajouter de la Javel/Chlore","B. Adiciona lixivia ou Pastilha de cloro","Water treatment: Add bleach/chlorine","Water treatment: Add bleach/chlorine","Water treatment: Add bleach/chlorine","Water treatment: Add bleach/chlorine","Water treatment: Add bleach/chlorine","Water treatment: Add bleach / chlorine","Water treatment: Add bleach/chlorine","Traitement de l'eau: Ajouter de la javel/ chlore",NA,"Water treatment: Add bleach/chlorine","Water treatment: Add bleach/chlorine","Water treatment: Add bleach/chlorine","Tratamento de água: adicionar lixivia / cloro","Water treatment: Add bleach/chlorine","Water treatment: Add bleach/chlorine","Water treatment: Add bleach/chlorine","Traitement de l'eau: Ajouter de la javel/ chlore","Water treatment: Add bleach/chlorine","Water treatment: Add bleach/chlorine","Tratamiento de agua: LE AÑADEN CLORO"
"30","WS10C","Water treatment: Strain it through a cloth",NA,"Traitement de l'eau: Filtrer à travers un tissu","Water treatment: Strain it through a cloth",NA,"Water treatment: Strain it through a cloth","Que faites-vous habituellement à l'eau pour la rendre plus saine à boire:FILTRER A TRAVERS UN TISSU","Water treatment: Strain it through a cloth","Traitement de l'eau : Filtrer à travers un tissu","Traitement de l'eau: Filtrer a travers un tissu","Traitement de l'eau: Filtrer à travers un tissu","C. Filtra com pano","Water treatment: Strain it through a cloth","Water treatment: Strain it through a cloth","Water treatment: Strain it through a cloth","Water treatment: Strain it through a cloth","Water treatment: Strain it through a cloth","Water treatment: Strain it through a cloth","Water treatment: Strain it through a cloth","Traitement de l'eau: Filtrer a travers un tissu",NA,"Water treatment: Strain it through a cloth","Water treatment: Strain it through a cloth","Water treatment: Strain it through a cloth","Tratamento da água: Filtrar com pano","Water treatment: Strain it through a cloth","Water treatment: Strain it through a cloth","Water treatment: Strain it through a cloth","Traitement de l'eau: Filtrer a travers un tissu","Water treatment: Strain it through a cloth","Water treatment: Strain it through a cloth","Tratamiento de agua: LA FILTRAN O LA CUELAN CON UNA TELA"
"31","WS10D","Water treatment: Use water filter",NA,"Traitement de l'eau: Utiliser un filtre à eau (céramique, sable, composite)","Water treatment: Use water filter",NA,"Water treatment: Use water filter","Que faites-vous habituellement à l'eau pour la rendre plus saine à boire:UTILISER UN FILTRE A EAU (CERAMIQUE, SABLE, COMPOSITE, ETC.)","Water treatment: Use water filter","Traitement de l'eau : Utiliser un filtre à eau","Traitement de l'eau: Utiliser un filtre a eau (ceramique, sable, composite, etc.)","Traitement de l'eau: Utiliser un filtre à eau (céramique, sable, composite)","D. Usa Filtro (cerâmica), areia e compositos","Water treatment: Use water filter","Water treatment: Use water filter","Water treatment: Use water filter","Water treatment: Use water filter","Water treatment: Use water filter","Water treatment: Use water filter","Water treatment: Use water filter","Traitement de l'eau: Utiliser un filtre a eau (ceramique, sable, composite, etc.)",NA,"Water treatment: Use water filter","Water treatment: Use water filter","Water treatment: Use water filter","Tratamento de água: Usar filtro de água","Water treatment: Use water filter","Water treatment: Use water filter","Water treatment: Use water filter","Traitement de l'eau: Utiliser un filtre a eau (ceramique, sable, composite, etc.)","Water treatment: Use water filter","Water treatment: Use water filter","Tratamiento de agua: UTILIZAN UN FILTRO PARA AGUA (CERÁMICA, ARENA, COMPUESTOS, ETC.)"
